"pass_msg_dw","Password requirement : minimum 8 characters with at least four combinations of uppercase letters, lowercase letters, numbers and special characters.<br>Acceptable special characters are; ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Passwords cannot contain ID.","Password requirement : minimum 8 characters with at least four combinations of uppercase letters, lowercase letters, numbers and special characters.<br>Acceptable special characters are; ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Passwords cannot contain ID.","Password requirement : minimum 8 characters with at least four combinations of uppercase letters, lowercase letters, numbers and special characters.<br>Acceptable special characters are; ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Passwords cannot contain ID.","Password requirement : minimum 8 characters with at least four combinations of uppercase letters, lowercase letters, numbers and special characters.<br>Acceptable special characters are; ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Passwords cannot contain ID.","Mot de passe requis: 8 caractères minimum avec au moins quatre combinaisons de lettres majuscules, minuscules, chiffres et caractères spéciaux. <br> Les caractères spéciaux acceptables sont; ~ `! $ ^ () _ - | {} []; . ? /<br>Les mots de passe ne peuvent pas contenir ID.","Wachtwoord eisen: minimaal 8 karakters met ten minste vier combinaties van hoofd- en kleine letters, cijfers en speciale symbolen. Geaccepteerde speciale symbolen zijn; ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Wachtwoorden mogen geen ID bevatten.","Passwortanforderung: mindestens 8 Zeichen mit mindestens vier Kombinationen aus Großbuchstaben, Kleinbuchstaben, Zahlen und Sonderzeichen.<br>Zulässige Sonderzeichen sind; ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Passwörter dürfen keine ID enthalten.","Requisito de contraseña: mínimo 8 caracteres con al menos cuatro combinaciones de letras mayúsculas, minúsculas, números y caracteres especiales. Los caracteres especiales aceptables son ~ `! $ ^ () _ - | {} []; . ? /<br>Las contraseñas no pueden contener ID.","Requisito password: minimo 8 caratteri con almeno quattro combinazioni di lettere maiuscole, lettere minuscole, numeri e caratteri speciali.<br>I caratteri speciali accettabili sono; ~`! $ ^ ( ) _ - | { } [ ] ; . ? /<br>Le password non possono contenere ID."
"pass_msg_symbol","Acceptable special characters are  ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /","가능한 특수 기호는 다음과 같습니다 ~`!$^()_-|{}[];.?/","可能な特殊記号は以下のとおりです ~'!$^()_-|{}[];.?/","Разрешенные специальные символы ~ `! $ ^ () _ - | {} [] ; . ? /","Les caractères spéciaux acceptables sont ~ `! $ ^ () _ - | {} []; . ? /","Geaccepteerde speciale symbolen zijn ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /","Zulässige Sonderzeichen sind ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /","Los caracteres especiales aceptables son ~ `! $ ^ () _ - | {} []; . ? /","I caratteri speciali accettabili sono ~ ` ! $ ^ ( ) _ - | { } [ ] ; . ? /"
"msg_outofcapability","Out of Capability","비디오 사양 초과","能力を超えています","Невозможно","Hors capacité","Keuze niet mogelijk","Außerhalb der Kapazität","Capacidad agotada","Fuori capacità"
"msg_duplicate_name","Duplicate name is exists.","중복된 이름이 존재합니다.","重複した名前が存在しています。","Такое имя уже существует","Un nom en double existe.","Duplicaatnaam bestaat al","Ein doppelter Name existiert.","nombre duplicado","Esiste un nome duplicato."
"msg_duplicate_port","The port number can not be duplicated.","포트 번호가 중복 될수 없습니다.다시 확인해 주세요.","ポート番号は重複してはいけません。","Номера портов не могут иметь одинаковые значения.","Le numéro de port ne peut pas être dupliqué.","Het poortnummer kan niet gedupliceerd worden","Die Portnummer kann nicht dupliziert werden.","El número de puerto no puede ser duplicado","Il numero di porta non può essere duplicato."
"setup_vin_source","VIN Source","비디오 입력 소스","VIN Source","Источник VIN","Source VIN","VIN Bron","VIN-Quelle","Fuente VIN","Fonte VIN"
"setup_system_datetime_timeformat","Time Format","시간 형식","時刻のフォーマット","Формат времени","Format de l'heure","Tijd Format","Zeitformat","Formato de tiempo","Formato orario"
"msg_operation_recovery_mode","All setting and log information has been initialized, because Recovery Mode has operated. \n\nIf don't want to show this message, please click OK Button.","복구 모드 기능이 동작하여, 모든 설정과 로그 정보가 초기화되었습니다. \n\n 더는 이 메시지를 보기 싫으면 확인 버튼을 눌러주세요.","All setting and log information has been initialized, because Recovery Mode has operated. \n\nIf don't wnat to show this message, please click OK Button.","Вся информация о настройках и журнале была инициализирована, поскольку активирован режим восстановления.Если не хотите отображать это сообщение  щелкните по кнопке Ок.","Toutes les informations de configuration et de journal ont été initialisées, car le mode de récupération a fonctionné. \r \n \r \nSi vous ne souhaitez pas afficher ce message, veuillez cliquer sur le bouton OK.","Alle Instellingen en log informatie zijn geïnitialiseerd als gevolg van het starten van de recovery modus. Als u deze mededeling wil sluiten klik dan op OK.","Alle Einstellungen und Protokollinformationen wurden initialisiert, da der Wiederherstellungsmodus aktiviert wurde. \n\nWenn Sie diese Meldung nicht sehen möchten, klicken Sie bitte auf die Schaltfläche OK.","Toda el ajuste y la configuración de registro se ha inicializado, porque el modo de recuperación ha operado.\n\nSi no quieren mostrar este mensaje, por favor haga clic en el botón Aceptar.","Tutte le impostazioni e le informazioni di registro sono state inizializzate, poiché è stata attivata la modalità di ripristino.\n\nSe non si desidera visualizzare questo messaggio, fare clic sul pulsante OK."
"EDGE","EDGE","엣지","EDGE","EDGE","BORD","EDGE","Kante","Borde","EDGE"
"setup_install","Install","설치","Install","Установить","Installer","Installeren","Installieren","Instalar","Installa"
"setup_edge_install_and_update_msg","System will be rebooted automatically after edge plugin is installed or updated. Do you want to progress update or install?","엣지 플러그인이 설치되거나, 업데이트된 후 시스템이 자동으로 재부팅됩니다. 업데이트 또는 설치를 계속 진행하시겠습니까?","system will be rebooted automatically, after edge plugin is installed or updated. Do you want to progress update or install?","Устройство будет автоматические перезагружено, после того как плагин для браузера Edge будет установлен. Продолжить установку?","le système sera redémarré automatiquement, après l'installation ou la mise à jour du plug-in Edge. Voulez-vous progresser la mise à jour ou l'installation?","Het systeem zal automatisch worden herstart nadat de EDGE plug-in geïnstalleerd of ge-update is. Wilt u doorgaan met installatie of update?","Das System wird automatisch neu gestartet, nachdem das Edge-Plugin installiert oder aktualisiert wurde. Möchten Sie die Aktualisierung oder Installation fortsetzen?","Sistema se reiniciará automáticamente después de plugin se haya instalado o actualizado. ¿Quieres continuar?","Il sistema verrà riavviato automaticamente dopo l'installazione o l'aggiornamento del plug-in edge. Vuoi procedere con l'aggiornamento o l'installazione?"
"setup_edge_control","DW Spectrum<sup>®</sup> Edge Control","엣지 컨트롤","Edge Control","Edge Control","Contrôle de bord DW Spectrum <sup> ® </sup>","DW Spectrum<sup>®</sup> Edge Control","DW Spectrum<sup>®</sup> Kantensteuerung","DW Spectrum <sup> ® </ sup> Control Edge","DW Spectrum<sup>®</sup> Controllo dei bordi"
"setup_start","Start","시작","Start","Запустить","Début","Start","Start","Comenzar","Avvia"
"setup_stop","Stop","멈춤","Stop","Остановить","Arrêtez","Stop","Stopp","Detener","Annulla"
"setup_edge_watchdog_start","Start Watchdog","감시 시작","Start Watchdog","Старт Watchdog","Démarrer Watchdog","Start Watchdog","Start Watchdog","Inicio Watchdog","Avvia Watchdog"
"setup_edge_watchdog_stop","Stop Watchdog","감시 정지","Stop Watchdog","Стоп Watchdog","Stop Watchdog","Stop Watchdog","Stopp Watchdog","Detener Watchdog","Stop Watchdog"
"setup_spectrum_edge","DW Spectrum<sup>®</sup> Edge","스펙트럼 엣지","Spectrum Edge","Spectrum Edge","Edge DW Spectrum <sup> ® </sup>","DW Spectrum<sup>®</sup> EDGE","DW Spectrum<sup>®</sup> Kante","DW Spectrum <sup> ® </ sup> Edge","DW Spectrum<sup>®</sup> Edge"
"setup_spectrum_edge_js","DW Spectrum Edge","스펙트럼 엣지","Spectrum Edge","Spectrum Edge","DW Spectrum Edge","DW Spectrum EDGE","DW Spectrum Edge","DW Spectrum Edge","DW Spectrum Edge"
"setup_spectrum_edge_install","Spectrum Edge Install","스펙트럼 엣지 설치","Spectrum Edge Install","Установка Spectrum Edge","Installation de Spectrum Edge","Spectrum EDGE Installatie","Spektrum Kante installieren","Instalar Spectrum Edge","Installazione Spectrum Edge"
"setup_spectrum_upload_success","Upload complete. Please wait to Installation Complete","업로드 완료. 설치가 완료 될 때 까지 기다려 주세요.","upload complete. Please wait to Installation Complete","Загрузка завершена. Дождитесь завершения процесса установки.","Téléchargement complet. Veuillez attendre l'installation terminée","Upload gelukt. Wacht tot de installatie is afgerond","Hochladen abgeschlossen. Bitte warten Sie auf Installation abgeschlossen","Carga completa. Por favor espere para completar la instalación","Caricamento completato. Attendere il completamento dell'installazione"
"setup_spectrum_install_success","Installation Complete","설치 완료","Installation Complete","Установка выполнена.","Installation complète","Installatie afgerond","Installation abgeschlossen","Instalación completa","Installazione completata"
"setup_spectrum_install_fail","Installation Failure","설치 실패","Installation Failure","Установка не выполнена.","Échec de l'installation","Installatie mislukt","Installation fehlgeschlagen","Error en la instalación","Errore di installazione"
"setup_update","Update","업데이트","update","Обновление","mise à jour","Update","Aktualisieren","Actualizar","Aggiorna"
"setup_req_profile_name","Please Enter the Profile Name","Please Enter the Profile Name","Please Enter the Profile Name","Введите название профиля","Veuillez saisir le nom du profil","Voer AUB profielnaam in","Bitte den Profilnamen eingeben","Por favor, introduzca el nombre del perfil","Si prega di inserire il nome del profilo"
"setup_gmt0","(GMT-12) Baker Island, Howland Island","(GMT-12) Baker Island, Howland Island","(GMT-12) Baker Island, Howland Island","(GMT-12) Острова Бейкер и Хауленд","(GMT-12) Île Baker, île Howland","(GMT-12) Baker Island, Howland Island","(GMT-12) Baker Island, Howland Island","(GMT-12) Baker Island, la isla Howland","(GMT-12) Isola Baker, Isola Howland"
"setup_gmt1","(GMT-11) Samoa, Niue","(GMT-11) Samoa, Niue","(GMT-11) Samoa, Niue","(GMT-11) Самоа, Мидуэй","(GMT-11) Samoa, Niue","(GMT-11) Samoa, Niue","(GMT-11) Samoa, Niue","(GMT-11) Samoa, Niue","(GMT-11) Samoa, Nuova Zelanda"
"setup_gmt2","(GMT-10) Hawaii","(GMT-10) Hawaii","(GMT-10) Hawaii","(GMT-10) Алеутские о-ва, Гавайи","(GMT-10) Hawaï","(GMT-10) Hawaii","(GMT-10) Hawaii","(GMT-10) Hawaii","(GMT-10) Hawaii"
"setup_gmt3","(GMT-09) Alaska","(GMT-09) Alaska","(GMT-09) Alaska","(GMT-09) Аляска","(GMT-09) Alaska","(GMT-09) Alaska","(GMT-09) Alaska","(GMT-09) Alaska","(GMT-09) Alaska"
"setup_gmt4","(GMT-08) Pacific Time (US & Canada), Baja California","(GMT-08) Pacific Time (US & Canada), Baja California","(GMT-08) Pacific Time (US & Canada), Baja California","(GMT-08) Тихоокеанское время (США & Канада)","(GMT-08) Heure du Pacifique (États-Unis et Canada), Baja California","(GMT-08) Pacific Time (US & Canada), Baja California","(GMT-08) Pazifische Zeit (USA und Kanada), Baja California","(GMT-08) Hora del Pacífico (EE.UU. y Canadá), Baja California","(GMT-08) Ora del Pacifico (USA e Canada), Bassa California"
"setup_gmt5","(GMT-07) Mountain Time(US & Canada), Arizona","(GMT-07) Mountain Time(US & Canada), Arizona","(GMT-07) Mountain Time(US & Canada), Arizona","(GMT-07) Горное время(США & Канада), Аризона","(GMT-07) Heure des montagnes (États-Unis et Canada), Arizona","(GMT-07) Mountain Time(US & Canada), Arizona","(GMT-07) Bergzeit (USA und Kanada), Arizona","(GMT-07) Hora de las Montañas (EE.UU. y Canadá), Arizona","(GMT-07) Mountain Time (USA e Canada), Arizona"
"setup_gmt6","(GMT-06) Central Time(US & Canada), Mexico City","(GMT-06) Central Time(US & Canada), Mexico City","(GMT-06) Central Time(US & Canada), Mexico City","(GMT-06) Центральноамериканское время, Мексика","(GMT-06) Heure centrale (États-Unis et Canada), Mexico","(GMT-06) Central Time(US & Canada), Mexico City","(GMT-06) Zentrale Zeit (USA und Kanada), Mexiko-Stadt","(GMT-06), hora central (EE.UU. y Canadá), Ciudad de México","(GMT-06) Ora centrale (USA e Canada), Città del Messico"
"setup_gmt7","(GMT-05) Indiana (East), Eastern Time (US & Canada)","(GMT-05) Indiana (East), Eastern Time (US & Canada)","(GMT-05) Indiana (East), Eastern Time (US & Canada)","(GMT-05) Североамериканское восточное время","(GMT-05) Indiana (Est), heure de l'Est (États-Unis et Canada)","(GMT-05) Indiana (East), Eastern Time (US & Canada)","(GMT-05) Indiana (Ost), östliche Zeit (USA und Kanada)","(GMT-05) Indiana (este), Tiempo Eastern (EE.UU. y Canadá)","(GMT-05) Indiana (est), fuso orario orientale (USA e Canada)"
"setup_gmt8","(GMT-04) Atlantic Time(Canada), Cuiaba, Sangtiago","(GMT-04) Atlantic Time(Canada), Cuiaba, Sangtiago","(GMT-04) Atlantic Time(Canada), Cuiaba, Sangtiago","(GMT-04) Чаморсское время (Гуам)","(GMT-04) Heure de l'Atlantique (Canada), Cuiaba, Sangtiago","(GMT-04) Atlantic Time(Canada), Cuiaba, Sangtiago","(GMT-04) Atlantische Zeit (Kanada), Cuiaba, Sangtiago","(GMT-04) Hora del Atlántico (Canadá), Cuiabá, Sangtiago","(GMT-04) Ora Atlantica (Canada), Cuiaba, Sangtiago"
"setup_gmt9","(GMT-03) Brasilia, Montevideo, Cayenne, Fortaleza","(GMT-03) Brasilia, Montevideo, Cayenne, Fortaleza","(GMT-03) Brasilia, Montevideo, Cayenne, Fortaleza","(GMT-03) Аргентинское время","(GMT-03) Brasilia, Montevideo, Cayenne, Fortaleza","(GMT-03) Brasilia, Montevideo, Cayenne, Fortaleza","(GMT-03) Brasilia, Montevideo, Cayenne, Fortaleza","(GMT-03) Brasilia, Montevideo, Cayena, Fortaleza","(GMT-03) Brasilia, Montevideo, Caienna, Fortaleza"
"setup_gmt10","(GMT-02) South Georgia and the South Sandwich Islands","(GMT-02) South Georgia and the South Sandwich Islands","(GMT-02) South Georgia and the South Sandwich Islands","(GMT-02) Центральноатлантическое время","(GMT-02) Géorgie du Sud et îles Sandwich du Sud","(GMT-02) South Georgia and the South Sandwich IJlanden","(GMT-02) Südgeorgien und die Südlichen Sandwichinseln","(GMT-02) Islas Sandwich del Sur y los países en Georgia","(GMT-02) Georgia del Sud e Isole Sandwich Meridionali"
"setup_gmt11","(GMT-01) Azores, Cape verde Is.","(GMT-01) Azores, Cape verde Is.","(GMT-01) Azores, Cape verde Is.","(GMT-01) Азорские острова","(GMT-01) Açores, Cap-Vert Is.","(GMT-01) Azores, Cape verde Is.","(GMT-01) Azoren, Kap Verde Is.","(GMT-01) Azores, Cabo Verde es.","(GMT-01) Azzorre, Capo verde Is."
"setup_gmt12","(GMT 00) Greenwich Mean Time, Lisbon, London","(GMT 00) Greenwich Mean Time, Lisbon, London","(GMT 00) Greenwich Mean Time, Lisbon, London","(GMT 00) Время по Гринвичу, Лондон","(GMT 00) Greenwich Mean Time, Lisbonne, Londres","(GMT 00) Greenwich Mean Time, Lisbon, London","(GMT 00) Greenwich Mean Time, Lissabon, London","(GMT 00) meridiano de Greenwich, Lisboa, Londres","(GMT 00) Ora di Greenwich, Lisbona, Londra"
"setup_gmt13","(GMT+01) Madrid, Paris, Berlin, Rome, Vienna","(GMT+01) Madrid, Paris, Berlin, Rome, Vienna","(GMT+01) Madrid, Paris, Berlin, Rome, Vienna","(GMT+01) Мадрид, Париж, Вена","(GMT+01) Madrid, Paris, Berlin, Rome, Vienne","(GMT+01) Madrid, Paris, Berlin, Rome, Vienna","(GMT+01) Madrid, Paris, Berlin, Rom, Wien","(GMT+01) Madrid, París, Berlín, Roma, Viena","(GMT+01) Madrid, Parigi, Berlino, Roma, Vienna"
"setup_gmt14","(GMT+02) Sofia, Tallinn, Vilnius, Istanbuli, Windhoek","(GMT+02) Sofia, Tallinn, Vilnius, Istanbuli, Windhoek","(GMT+02) Sofia, Tallinn, Vilnius, Istanbuli, Windhoek","(GMT+02) Калининград, Таллин, Стамбул ","(GMT+02) Sofia, Tallinn, Vilnius, Istanbuli, Windhoek","(GMT+02) Sofia, Tallinn, Vilnius, Istanbuli, Windhoek","(GMT+02) Sofia, Tallinn, Vilnius, Istanbul, Windhoek","(GMT+02) Sofía, Tallin, Vilnius, Istambuli, Windhoek","(GMT+02) Sofia, Tallinn, Vilnius, Istanbuli, Windhoek"
"setup_gmt15","(GMT+03) Kuwait, Baghdad, Moscow, St. Petersburg","(GMT+03) Kuwait, Baghdad, Moscow, St. Petersburg","(GMT+03) Kuwait, Baghdad, Moscow, St. Petersburg","(GMT+03) Москва, Санкт-Петербург","(GMT+03) Koweït, Bagdad, Moscou, Saint-Pétersbourg","(GMT+03) Kuwait, Baghdad, Moscow, St. Petersburg","(GMT+03) Kuwait, Bagdad, Moskau, St. Petersburg","(GMT+03) Kuwait, Bagdad, Moscú, San Petersburgo","(GMT+03) Kuwait, Baghdad, Mosca, San Pietroburgo"
"setup_gmt16","(GMT+04) Yerevan, Tbilisi, Port Louis","(GMT+04) Yerevan, Tbilisi, Port Louis","(GMT+04) Yerevan, Tbilisi, Port Louis"," (GMT+04) Самара, Ульяновск, Саратов","(GMT+04) Erevan, Tbilissi, Port Louis","(GMT+04) Yerevan, Tbilisi, Port Louis","(GMT+04) Yerevan, Tbilisi, Port Louis","(GMT+04) Ereván, Tiflis, Port Louis","(GMT+04) Yerevan, Tbilisi, Port Louis"
"setup_gmt17","(GMT+05) Karachi, Tashkent, Yekaterinburg","(GMT+05) Karachi, Tashkent, Yekaterinburg","(GMT+05) Karachi, Tashkent, Yekaterinburg","(GMT+05) Екатеринбург, Оренбург, Челябинск","(GMT+05) Karachi, Tachkent, Iekaterinbourg","(GMT+05) Karachi, Tashkent, Yekaterinburg","(GMT+05) Karachi, Tashkent, Yekaterinburg","(GMT+05) Karachi, Tashkent, Ekaterimburgo","(GMT+05) Karachi, Tashkent, Ekaterinburg"
"setup_gmt18","(GMT+06) Dhaka, Astana, Novosibirsk, Yangon","(GMT+06) Dhaka, Astana, Novosibirsk, Yangon","(GMT+06) Dhaka, Astana, Novosibirsk, Yangon","(GMT+06) Омск, Салехард, Ханты-Мансийск","(GMT+06) Dacca, Astana, Novossibirsk, Yangon","(GMT+06) Dhaka, Astana, Novosibirsk, Yangon","(GMT+06) Dhaka, Astana, Novosibirsk, Yangon","(GMT+06) Dhaka, Astana, Novosibirsk, Yangon","(GMT+06) Dacca, Astana, Novosibirsk, Yangon"
"setup_gmt19","(GMT+07) Bangkok, Hanoi, Jakarta","(GMT+07) Bangkok, Hanoi, Jakarta","(GMT+07) Bangkok, Hanoi, Jakarta","(GMT+07) Новосибирск, Красноярск, Барнаул","(GMT+07) Bangkok, Hanoi, Jakarta","(GMT+07) Bangkok, Hanoi, Jakarta","(GMT+07) Bangkok, Hanoi, Jakarta","(GMT+07) Bangkok, Hanoi, Yakarta","(GMT+07) Bangkok, Hanoi, Giacarta"
"setup_gmt20","(GMT+08) Beijing, Hong Kong, Singapore, Taipei","(GMT+08) Beijing, Hong Kong, Singapore, Taipei","(GMT+08) Beijing, Hong Kong, Singapore, Taipei","(GMT+08) Иркутск, Улан-Удэ","(GMT+08) Pékin, Hong Kong, Singapour, Taipei","(GMT+08) Beijing, Hong Kong, Singapore, Taipei","(GMT+08) Peking, Hongkong, Singapur, Taipeh","(GMT+08) Pekín, Hong Kong, Singapur, Taipei","(GMT+08) Pechino, Hong Kong, Singapore, Taipei"
"setup_gmt21","(GMT+09) Seoul, Osaka, Tokyo","(GMT+09) Seoul, Osaka, Tokyo","(GMT+09)  Seoul, Osaka, Tokyo","(GMT+09) Чита, Благовещенск, Якутск","(GMT+09) Séoul, Osaka, Tokyo","(GMT+09) Seoul, Osaka, Tokyo","(GMT+09) Seoul, Osaka, Tokio","(GMT+09) Seúl, Osaka, Tokio","(GMT+09) Seul, Osaka, Tokyo"
"setup_gmt21_1","(GMT+09) Osaka, Sapporo, Tokyo","(GMT+09) Osaka, Sapporo, Tokyo","(GMT+09)  Osaka, Sapporo, Tokyo","(GMT+09) Чита, Благовещенск, Якутск,","(GMT+09) Osaka, Sapporo, Tokyo","(GMT+09) Osaka, Sapporo, Tokyo","(GMT+09) Osaka, Sapporo, Tokio","(GMT+09) Osaka, Sapporo, Tokio","(GMT+09) Osaka, Sapporo, Tokyo"
"setup_gmt22","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Владивосток, Биробиджан, Хабаровск","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Canberra, Melbourne, Sydney, Brisbane","(GMT+10) Canberra, Melbourne, Sydney, Brisbane"
"setup_gmt23","(GMT+11) Magadan, Solomon Is., New Caledonia","(GMT+11) Magadan, Solomon Is., New Caledonia","(GMT+11) Magadan, Solomon Is., New Caledonia","(GMT+11) Магадан, Сахалин","(GMT+11) Magadan, Îles Salomon, Nouvelle-Calédonie","(GMT+11) Magadan, Solomon Is., New Caledonia","(GMT+11) Magadan, Salomon-Inseln, Neukaledonien","(GMT+11) Magadan, Solomon es., Nueva Caledonia","(GMT+11) Magadan, Is. Salomone, Nuova Caledonia"
"setup_gmt24","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Петропавловск-Камчатский, Чукотка, Анадырь","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky","(GMT+12) Auckland, Suva, Petropavlovsk-Kamchatsky"
"setup_gmt25","(GMT+13) Nuku'alofa","(GMT+13) Nuku'alofa","(GMT+13) Nuku'alofa","(GMT+13) Тонга, Токелау","(GMT+13) Nuku'alofa","(GMT+13) Nuku'alofa","(GMT+13) Nuku'alofa","(GMT+13) Nuku'alofa","(GMT+13) Nuku'alofa"
"setup_gmt26","(GMT-09:30) Marquesas Islands","(GMT-09:30) Marquesas Islands","(GMT-09:30) Marquesas Islands","(GMT-9.30) Острова Маркизы","(GMT-09:30) Îles Marquises","(GMT-09:30) Marquesas IJlanden","(GMT-09:30) Marquesas Inseln","(GMT-09:30) Islas Marquesas","(GMT-09:30) Isole Marchesi"
"setup_gmt27","(GMT-03:30) southeastern Labrador, Newfoundland","(GMT-03:30) southeastern Labrador, Newfoundland","(GMT-03:30) southeastern Labrador, Newfoundland","(GMT-03.30) Юго-восточный Лабрадор, Ньюфаундленд","(GMT-03:30) sud-est du Labrador, Terre-Neuve","(GMT-03:30) southeastern Labrador, Newfoundland","(GMT-03:30) southeastern Labrador, Newfoundland","(GMT-03:30) el sureste de Labrador, Terranova","(GMT-03:30) Labrador sudorientale, Terranova"
"setup_gmt28","(GMT+03:30) Tehran","(GMT+03:30) Tehran","(GMT+03:30) Tehran","(GMT+03.30) Тегеран","(GMT+03:30) Téhéran","(GMT+03:30) Tehran","(GMT+03:30) Tehran","(GMT+03:30) Teherán","(GMT+03:30) Teheran"
"setup_gmt29","(GMT+04:30) Kabul","(GMT+04:30) Kabul","(GMT+04:30) Kabul","(GMT+04.30) Кабул","(GMT+04:30) Kaboul","(GMT+04:30) Kabul","(GMT+04:30) Kabul","(GMT+04:30) Kabul","(GMT+04:30) Kabul"
"setup_gmt30","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","(GMT+05.30) Ченнай, Колката, Мумбаи, Нью Дели","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","(GMT+05:30) Chennai, Calcuta, Mumbai, Nueva Delhi","(GMT+05:30) Chennai, Calcutta, Mumbai, Nuova Delhi"
"setup_gmt31","(GMT+05:45) Kathmandu","(GMT+05:45) Kathmandu","(GMT+05:45) Kathmandu","(GMT+05.45) Катманду","(GMT+05:45) Katmandou","(GMT+05:45) Kathmandu","(GMT+05:45) Kathmandu","(GMT+05:45) Kathmandu","(GMT+05:45) Katmandu"
"setup_gmt32","(GMT+06:30) Rangoon","(GMT+06:30) Rangoon","(GMT+06:30) Rangoon","(GMT+06.30) Рангун, Кокосовые о-ва (Килинг)","(GMT+06:30) Rangoon","(GMT+06:30) Rangoon","(GMT+06:30) Rangoon","(GMT+06:30) Rangoon","(GMT+06:30) Rangoon"
"setup_gmt33","(GMT+08:45) Eucla","(GMT+08:45) Eucla","(GMT+08:45) Eucla","(GMT+08.45) Юкла","(GMT+08:45) Eucla","(GMT+08:45) Eucla","(GMT+08:45) Eucla","(GMT+08:45) Eucla","(GMT+08:45) Eucla"
"setup_gmt34","(GMT+09:30) Adelaide, Darwin","(GMT+09:30) Adelaide, Darwin","(GMT+09:30) Adelaide, Darwin","(GMT+09.30) Аделаида, Дарвин","(GMT+09:30) Adélaïde, Darwin","(GMT+09:30) Adelaide, Darwin","(GMT+09:30) Adelaide, Darwin","(GMT+09:30) Adelaida, Darwin","(GMT+09:30) Adelaide, Darwin"
"setup_gmt35","(GMT+10:30) Lord Howe Island","(GMT+10:30) Lord Howe Island","(GMT+10:30) Lord Howe Island","(GMT+10.30) Австралийское Центральное Стандартное Время, остров Лорд-Хаy","(GMT+10:30) Île Lord Howe","(GMT+10:30) Lord Howe Island","(GMT+10:30) Lord Howe Insel","(GMT+10:30) Lord Howe Island","(GMT+10:30) Isola di Lord Howe"
"setup_gmt36","(GMT+12:45) Chatham Islands","(GMT+12:45) Chatham Islands","(GMT+12:45) Chatham Islands","(GMT+12.45) Острова Чатем","(GMT+12:45) Îles Chatham","(GMT+12:45) Chatham IJlanden","(GMT+12:45) Chatham-Inseln","(GMT+12:45) Islas Chatham","(GMT+12:45) Isole Chatham"
"Open_Source","OPEN SOURCE","오픈소스 라이센스","オープンソースライセンス","ЛИЦЕНЗИЯ ОТКРЫТОГО КОДА","OPEN SOURCE","OPEN SOURCE","OFFENE QUELLE","FUENTE ABIERTA","OPEN SOURCE"
"admin_password","Change admin’s password","관리자 계정 비밀번호 변경","管理者パスワードの変更","Изменение пароля администратора","Changer le mot de passe de l'administrateur","Admin Wachtwoord wijzigen","Passwort des Administrators ändern","Cambiar la contraseña del administrador","Cambia la password dell'amministratore"
"set_admin_password","Set Admin Password","관리자 계정 비밀번호 변경","管理者パスワードの変更","Изменение пароля администратора","Définir le mot de passe administrateur","Admin Wachtwoord instellen","Administrator-Passwort festlegen","Configurar la contraseña del administrador","Imposta password amministratore"
"temperature_measurement","TEMP MEASUREMENT","온도 측정","温度測定","ИЗМЕРЕНИЕ ТЕМПЕРАТУРЫ","MESURE DE TEMPÉRATURE","TEMPERATUUR METING","Temperaturmessung","MEDICIÓN DE TEMPERATURA","MISURAZIONE DELLA TEMPERATURA"
"setup_temp_config","THERMAL TEMP ALARM Configuration","온도 감지 설정","温度検出構成","Конфигурация обнаружения температуры","Configuration de détection de température","Temperatuur Detectie Configuratie","THERMAL TEMP ALARM Konfiguration","Configuración de detección de temperatura","Configurazione ALLARME TEMPERATURA TERMICA"
"setup_temp_measure_activation","Activation","사용","アクティベーション","Активация","Activation","Activatie","Aktivierung","Activación","Attivazione"
